id	description	number_of_orders	price	url
4000859598280	Геометрические Роскошные брендовые кожаные кошельки, женские длинные кошельки на молнии, кошельки с кисточками, дизайнерский клатч, Женски...	7342 продано	278 - 366,16 руб.	//aliexpress.ru/item/4000859598280.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-10&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000965087258	Новый женский длинный кошелек, Наплечная Сумка, женские кошельки, клатч, Дамский кошелек на молнии, карман для телефона, держатель для карт, ...	767 продано	502,78 - 617,95 руб.	//aliexpress.ru/item/4000965087258.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-11&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001357204747	2020 Роскошные брендовые кожаные кошельки, женские длинные кошельки на молнии, Дизайнерские клатчи с кисточками, женские кошельки для денег, ...		184,28 - 401,91 руб.	//aliexpress.ru/item/1005001357204747.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-12&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001357248399	Длинный кошелек, женские кошельки с кисточками, модный кошелек для монет, держатель для карт, женские кошельки, высококачественный клатч, су...		151,71 - 200,96 руб.	//aliexpress.ru/item/1005001357248399.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-13&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001304242910	Повседневный маленький ультратонкий бумажник для мужчин из натуральной кожи, мужские тонкие кошельки, Короткие мини-кошельки с отделением ...		575,06 руб.	//aliexpress.ru/item/1005001304242910.html?s=p&ad_pvid=2020092503465917625561685526320002505453_3&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-14&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001326503044	Новинка, женские кошельки из искусственной кожи, женские длинные кошельки, сумки для денег, карман для телефона, Женский кошелек высокого ка...		225,58 - 252,58 руб.	//aliexpress.ru/item/1005001326503044.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-15&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32964838103	Новое поступление, кошелек, короткие женские кошельки, кошелек на молнии, в стиле пэчворк, модные кошельки с панелями, трендовые кошельки, ко...	203 продано	265,29 руб.	//aliexpress.ru/item/32964838103.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-16&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001357197194	Новый кожаный женский кошелек с застежкой, маленький и тонкий кошелек для монет, женские кошельки, держатели для карт, роскошные брендовые к...		194,60 - 313,74 руб.	//aliexpress.ru/item/1005001357197194.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-17&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001356360720	Мужской женский смарт-кошелек с держателем для визиток, с застежкой, Rfid кошелек, Алюминиевый металлический кредитный мини-кошелек для визит...		270,85 руб.	//aliexpress.ru/item/1005001356360720.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-18&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001485597343	Акция на складе, Женский кошелек из натуральной кожи, Модный женский клатч, Дамский кошелек для мобильного телефона, Длинный дизайнерский ж...		1 191,41 руб.	//aliexpress.ru/item/1005001485597343.html?s=p&ad_pvid=2020092503465917625561685526320002505453_4&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-19&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001348934945	Женские короткие кошельки, 2020, новый модный дизайн, маленький держатель для карт, высокое качество, PU, кошелек для монет, простая молния, сумк...		228,76 руб.	//aliexpress.ru/item/1005001348934945.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-20&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000423714927	Женский кошелек для улицы, модный тренд, Однотонный, Цветочный, с бахромой, кожаный кошелек для карт, carteira mulher, кошелек женский # A20		165,21 - 242,26 руб.	//aliexpress.ru/item/4000423714927.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-21&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001345129706	Женский кошелек, Женский кошелек, защелкивающийся Кошелек для монет, сумка для телефона, бантик, много карт, держатель для карт, кошелек для ...		269,26 - 368,55 руб.	//aliexpress.ru/item/1005001345129706.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-22&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000608925668	Женские кошельки, модные, длинные, кожаные, высокое качество, классический женский кошелек на молнии, брендовый кошелек для женщин, 2020	3743 продано	830,81 руб.	//aliexpress.ru/item/4000608925668.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-23&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000944055692	Мужской короткий кошелек LAORENTOU, черный повседневный мини-кошелек из натуральной кожи с держателем для карт, с радиочастотной технологией, ...	9 продано	1 073,07 руб.	//aliexpress.ru/item/4000944055692.html?s=p&ad_pvid=2020092503465917625561685526320002505453_5&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-24&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000585340597	Алюминиевый металлический мини-кошелек для кредитных карт 2020, Прямая поставка, Умный кошелек для мужчин и женщин, держатель для карт, кошеле...	1554 продано	312,95 - 377,28 руб.	//aliexpress.ru/item/4000585340597.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-25&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33006263746	Baellerry 2020 Для женщин кошелек бренд бумажника сотового телефона большой с отделением для карт, чехол для телефона с функцией кошелька и сумочк...	2860 продано	451,15 - 715,64 руб.	//aliexpress.ru/item/33006263746.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-26&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000122520579	Ультратонкий улучшенный мини-кошелек для мужчин и женщин, деловые маленькие кошельки из искусственной кожи, портмоне, кошельки с держателе...	824 продано	303,42 руб.	//aliexpress.ru/item/4000122520579.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-27&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001072274068	Женский кошелек, красный/зеленый/розовый/синий/серый/черный длинный женский кошелек для мобильного телефона из искусственной кожи, кошелек...	61 продано	293,09 руб.	//aliexpress.ru/item/4001072274068.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-28&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001051548686	Новинка, Rfid анти-магнитные держатели для карт, умные кошельки, мужской кошелек из искусственной кожи, винтажные короткие женские кошельки, м...	402 продано	316,92 - 369,34 руб.	//aliexpress.ru/item/4001051548686.html?s=p&ad_pvid=2020092503465917625561685526320002505453_6&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-29&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000436683278	2020 дропшиппинг мужской женский Умный кошелек визитница Rfid Кошелек Алюминиевый металлический кредитный мини-кошелек для карт	5533 продано	312,95 - 377,28 руб.	//aliexpress.ru/item/4000436683278.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-30&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000199010849	DIENQI карбоновый держатель для карт, кошельки для мужчин, бренд Rfid, черный, волшебный, трехслойный кожаный тонкий мини кошелек, маленькая сумк...	6685 продано	556,79 - 627,48 руб.	//aliexpress.ru/item/4000199010849.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-31&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001220855092	Женский кошелек, короткий женский кошелек, корона, кошельки для женщин, держатель для карт, маленький женский кошелек, Женский кошелек с зас...	146 продано	218,43 - 327,25 руб.	//aliexpress.ru/item/4001220855092.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-32&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32948156082	Длинный женский кошелек, женские кошельки с кисточками, портмоне, держатель для карт, женские кошельки из искусственной кожи, клатч, сумка д...	1530 продано	301,83 - 408,26 руб.	//aliexpress.ru/item/32948156082.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-33&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001362635906	Новый простой мини мужской кошелек из натуральной кожи с маленькое отделение для монет держатель для кредитных карт тонкий мужской кошелек...		626,69 руб.	//aliexpress.ru/item/4001362635906.html?s=p&ad_pvid=2020092503465917625561685526320002505453_7&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-34&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001368224207	Кошелек для женщин, кошелек для монет, короткий, роскошный, стильный, складной, женский, простой, модный, Мини, кошелек для монет, оптовая прод...		371,72 руб.	//aliexpress.ru/item/1005001368224207.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-35&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001197385078	Модная новинка, женские длинные кошельки, чистый цвет, шерсть, бант, клатч, Женская длинная сумка, сумка для карт, кошелек для монет	187 продано	219,22 - 284,35 руб.	//aliexpress.ru/item/4001197385078.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-36&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001333919752	Женские кошельки из искусственной кожи, с отделением для монет, с застежкой, с отделением для карт, сумки для денег, повседневные длинные жен...		179,51 - 439,24 руб.	//aliexpress.ru/item/1005001333919752.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-37&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001145861709	Длинный женский кошелек, женские кошельки с кисточками, портмоне, держатель для карт, женские кошельки из искусственной кожи, клатч, сумка д...	1536 продано	293,89 - 396,35 руб.	//aliexpress.ru/item/4001145861709.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-38&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000801145911	Женский кошелек WESTAL, Длинный кошелек из натуральной кожи на молнии с отделением для мобильного телефона, 420	118 продано	1 157,26 - 1 230,33 руб.	//aliexpress.ru/item/4000801145911.html?s=p&ad_pvid=2020092503465917625561685526320002505453_8&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-39&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001204418161	Роскошный женский длинный кошелек в стиле пэчворк, блестящий клатч из искусственной кожи, женская сумка для телефона, держатель для карт, ко...	122 продано	396,35 руб.	//aliexpress.ru/item/4001204418161.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-40&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001161676194	Геометрические женские милые розовые кошельки, карманный кошелек, держатель для карт, лоскутный кошелек, женский модный короткий кошелек д...	927 продано	259,73 руб.	//aliexpress.ru/item/4001161676194.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-41&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310732018	Женский кошелек 2020, женские короткие кошельки, черный, красный цвет, Мини кошельки для денег, маленькие складные кошельки из искусственной к...		166,01 - 396,35 руб.	//aliexpress.ru/item/1005001310732018.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-42&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001111972047	KAVIS Женский Длинный кошелек из натуральной кожи, женские клатчи, кошельки для денег, ручная Сумочка для паспорта, кошелек для сотового телеф...	269 продано	1 132,64 - 1 236,69 руб.	//aliexpress.ru/item/4001111972047.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-43&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001481299249	2020 кожаный кошелек для женщин меховая сумка Bolso Mujer кошелек большой емкости женский кошелек с пряжкой на молнии сумки из мягкой кожи универс...		669,58 руб.	//aliexpress.ru/item/1005001481299249.html?s=p&ad_pvid=2020092503465917625561685526320002505453_9&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-44&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000186984814	Мини кошелек с кисточками, женский модный кошелек, женские короткие мини кошельки, корейский студенческий милый кошелек, женский маленький ...		227,17 руб.	//aliexpress.ru/item/4000186984814.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-45&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000509200786	ZOVYVOL 2020 визитница для кредитных карт для мужчин и женщин металлическая RFID винтажная алюминиевая коробка PU кожаный бумажник для карт Note Carbon	780 продано	313,74 - 376,49 руб.	//aliexpress.ru/item/4000509200786.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-46&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000059644010	Брендовый желтый женский кошелек из мягкой искусственной кожи, Женский кошелек, мини держатель для карт с застежкой, Короткие Кошельки для ...	1478 продано	396,35 руб.	//aliexpress.ru/item/4000059644010.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-47&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000586913090	Женский кошелек новый двухслойный мобильный телефон сумка Корейская женская модная сумка через плечо ультра мягкая мульти карта	225 продано	561,56 - 573,47 руб.	//aliexpress.ru/item/4000586913090.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-48&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310191168	Повседневные женские кошельки, кожаный однотонный Роскошный кошелек из натуральной кожи, тонкие три раза кошельки, кредитница, деловой муж...		736,30 руб.	//aliexpress.ru/item/1005001310191168.html?s=p&ad_pvid=2020092503465917625561685526320002505453_10&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-49&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001254729483	Новый кожаный маленький кошелек для женщин, роскошный бренд, известные мини женские кошельки, кошельки, женские короткие кошельки на молнии...	57 продано	251,79 - 258,94 руб.	//aliexpress.ru/item/4001254729483.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-50&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001434408577	2020 Новый стиль Pu корейский стиль кошелек короткий женский простой модный кошелек кожаный кошелек		347,10 руб.	//aliexpress.ru/item/1005001434408577.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-51&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33009247112	Женский Длинный кошелек на запястье, с множеством отделов, женский клатч, Дамский кошелек на молнии, с карманами для телефона, держатель для ...	2074 продано	595,71 руб.	//aliexpress.ru/item/33009247112.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-52&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32959802364	Модный женский кошелек конфетного цвета, кожаный однотонный винтажный короткий кошелек с застежкой в виде сердца для девушек, держатель дл...	147 продано	241,46 - 303,42 руб.	//aliexpress.ru/item/32959802364.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-53&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000739274707	Женский короткий кошелек из зернистой кожи WilliamPolo, повседневный Модный деловой бумажник из овечьей кожи с отделениями для кредитных карт	4 продано	1 662,42 руб.	//aliexpress.ru/item/4000739274707.html?s=p&ad_pvid=2020092503465917625561685526320002505453_11&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-54&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32812178430	Волшебный кошелек CUIKCA, волшебный кошелек с зажимом для денег, кошелек для монет на молнии, кошелек Carteira унисекс, тонкий кошелек из нубука, фу...	202 продано	349,48 руб.	//aliexpress.ru/item/32812178430.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-55&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001233532380	Женские трехслойные короткие кошельки, милый карамельный цвет, Женский кошелек для монет, повседневный кожзаменитель, держатель для карт, т...		275,62 руб.	//aliexpress.ru/item/4001233532380.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-56&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33040060164	CUIKCA тонкий кожаный кошелек, сумка для монет с зажимом для денег, чехлы для карт, кошелек на молнии для мужчин и женщин, держатель кредитных ка...	648 продано	396,35 руб.	//aliexpress.ru/item/33040060164.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-57&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001084111792	Модные кошельки для женщин из искусственной кожи, длинная сумка для денег, кошелек для монет, держатель для кредитных карт, клатч, карман для...	4 продано	532,96 - 536,93 руб.	//aliexpress.ru/item/4001084111792.html?algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-58&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32954026055	Женский кошелек-клатч Forever Young, дизайнерский кошелек на молнии с отделением для мобильного телефона	508 продано	739,47 руб.	//aliexpress.ru/item/32954026055.html?s=p&ad_pvid=2020092503465917625561685526320002505453_12&algo_pvid=2bce87a5-ddd3-4e4c-9435-198de64f000a&algo_expid=2bce87a5-ddd3-4e4c-9435-198de64f000a-59&btsid=0b8b158f16010308195741830ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
